,Column Labels,,,
,Sep,Oct,Nov,Grand Total
Row Labels,,,,
Sum of newDeaths28DaysByDeathDate.y,0,8,19,27
Sum of newDeaths28DaysByPublishDate.y,0,6,16,22
E10000028,,,,
Staffordshire,,,,
Sum of newDeaths28DaysByDeathDate.x,15,67,93,175
Sum of newDeaths28DaysByPublishDate.x,16,58,105,179
Sum of newDeaths28DaysByDeathDate.y,15,70,166,251
Sum of newDeaths28DaysByPublishDate.y,16,58,151,225
E10000029,,,,
Suffolk,,,,
Sum of newDeaths28DaysByDeathDate.x,1,9,21,31
Sum of newDeaths28DaysByPublishDate.x,1,9,21,31
Sum of newDeaths28DaysByDeathDate.y,1,9,38,48
Sum of newDeaths28DaysByPublishDate.y,1,9,33,43
E10000030,,,,
Surrey,,,,
Sum of newDeaths28DaysByDeathDate.x,6,30,35,71
Sum of newDeaths28DaysByPublishDate.x,8,28,41,77
Sum of newDeaths28DaysByDeathDate.y,6,30,48,84
Sum of newDeaths28DaysByPublishDate.y,8,28,49,85
E10000031,,,,
Warwickshire,,,,
Sum of newDeaths28DaysByDeathDate.x,1,22,20,43
Sum of newDeaths28DaysByPublishDate.x,3,19,23,45
Sum of newDeaths28DaysByDeathDate.y,1,20,34,55
Sum of newDeaths28DaysByPublishDate.y,3,19,42,64
E10000032,,,,
West Sussex,,,,
Sum of newDeaths28DaysByDeathDate.x,12,23,15,50
Sum of newDeaths28DaysByPublishDate.x,11,19,25,55
Sum of newDeaths28DaysByDeathDate.y,11,23,25,59
Sum of newDeaths28DaysByPublishDate.y,11,19,39,69
E10000034,,,,
Worcestershire,,,,
Sum of newDeaths28DaysByDeathDate.x,5,13,20,38
Sum of newDeaths28DaysByPublishDate.x,5,13,27,45
Sum of newDeaths28DaysByDeathDate.y,5,14,33,52
Sum of newDeaths28DaysByPublishDate.y,5,13,43,61
Total Sum of newDeaths28DaysByDeathDate.x,653,4281,3629,8563
Total Sum of newDeaths28DaysByPublishDate.x,642,3775,4440,8857
Total Sum of newDeaths28DaysByDeathDate.y,651,4297,5603,10551
Total Sum of newDeaths28DaysByPublishDate.y,642,3775,5936,10353
